net,length_um
_04237_,118.455
_06569_,118.07
_05931_,117.9
bht_lut.pc_from_id\[9\],117.82
_07631_,117.74
_07965_,117.72
_06197_,117.7
_05214_,117.69
mem_wb_pipeline_reg.Rd_Data_Out_PR\[15\],117.68
_06267_,117.61
_07162_,117.48
rr_ex_pipe_reg.RF_D1_Out\[3\],117.45
_08230_,117.37
_04750_,117.26
_07188_,117.25
_03227_,117.19
_06208_,117.14
bht_lut.pc_from_id\[4\],117.11
mem_wb_pipeline_reg.Rd_Data_Out_PR\[2\],116.915
_02812_,116.8
_02514_,116.75
_03147_,116.695
_06693_,116.52
_06537_,116.3
clknet_leaf_215_clk,116.3
_05295_,116.25
_07161_,116.19
_08183_,116.16
_04737_,116.06
clknet_leaf_150_clk,116.06
_03199_,116
_04234_,115.94
_07221_,115.92
clknet_leaf_191_clk,115.85
_07228_,115.82
_08023_,115.82
_08103_,115.64
_08254_,115.58
_06487_,115.55
_03050_,115.5
_03458_,115.5
_07962_,115.43
_08096_,115.4
_04068_,115.34
_04780_,115.17
ex_mem_pipe_reg.Rd_Data_Out_PR\[15\],115.165
_07995_,115.16
_03206_,115.14
_03514_,114.995
clknet_leaf_178_clk,114.98
_02574_,114.94
_07589_,114.84
_03213_,114.79
_07588_,114.6
_06682_,114.48
clknet_leaf_16_clk,114.42
_05698_,114.4
_06603_,114.36
_07420_,114.15
_03423_,114.12
_08220_,113.985
_04756_,113.98
_05705_,113.69
forwardlogic.reg_wr_en_mem_wb,113.47
_06387_,113.44
_05558_,113.38
clknet_leaf_228_clk,113.36
rr_ex_pipe_reg.RF_D1_Out\[5\],113.27
bht_lut.pc_from_id\[10\],113.24
_03407_,113.02
_03820_,112.92
_05690_,112.83
_03217_,112.74
_04300_,112.7
_06560_,112.6
_05726_,112.56
_03773_,112.55
_05323_,112.46
_08036_,112.43
_06270_,112.36
clknet_leaf_100_clk,112.36
_04715_,112.31
_05718_,112.18
_07897_,112.055
_04716_,112.03
_08092_,112
_07598_,111.92
_02578_,111.9
_08234_,111.9
_06740_,111.8
_07177_,111.74
ex_mem_pipe_reg.Rd_Data_Out_PR\[3\],111.62
_04088_,111.4
_05713_,111.36
_04888_,111.34
clknet_leaf_89_clk,111.28
_05700_,111.12
_06522_,111.08
_03209_,110.92
_07218_,110.86
_07222_,110.82
_05736_,110.76
_08033_,110.74
_06048_,110.64
_06307_,110.56
_06533_,110.52
_03868_,110.36
_04119_,110.24
_08102_,110.035
clknet_leaf_164_clk,109.615
_06475_,109.6
_08115_,109.28
_05159_,108.96
