net,length_um
clknet_leaf_89_clk,60.66
_05503_,60.54
_05533_,60.54
_05045_,60.5
clknet_leaf_176_clk,60.495
net603,60.48
net938,60.42
if_id_reg.Instr_Out\[15\],60.4
clknet_leaf_112_clk,60.18
_05905_,60.06
net435,59.94
clknet_leaf_15_clk,59.82
dmem.ram\[11\]\[6\],59.78
net209,59.76
clknet_leaf_57_clk,59.715
_05008_,59.66
net213,59.6
_03198_,59.33
if_id_reg.PC_Next_Out\[9\],59.29
_02730_,59.2
mm_wb_reg.Rd_Data_Out_PR\[2\],59.14
dmem.ram\[41\]\[0\],58.94
dmem.ram\[1\]\[6\],58.9
_03305_,58.84
_02813_,58.82
_05527_,58.78
_05897_,58.78
_01862_,58.59
